comment,time,vader_scores,vader_compound,vader_label
Que tuani majeeeeeeeeeeeeee,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
 @tavomontana3302  Por pensamientos como el tuyo tenemos a toda Latinoamérica con una crisis de inseguridad ciudadana.,1 year ago (edited),"{'neg': 0.215, 'neu': 0.785, 'pos': 0.0, 'compound': -0.6249}",-0.6249,negative
De Nervios!.Pero Excellente Reportaje!..👍🙏,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
 @dari_colombiano5163  no entiendes y el hecho de ser ricos y usar a los desprotegidos y confundidos eso los absuelve ??,1 year ago (edited),"{'neg': 0.119, 'neu': 0.881, 'pos': 0.0, 'compound': -0.3736}",-0.3736,negative
¡Ahora los videos vienen en diferentes idiomas! Para cambiarlos pica en la rueda de “configuración” selecciona “pista de audio” y elige la de tu preferencia 😁 Compártelo con tus amigos de otros países 🌍🔥,1 year ago,"{'neg': 0.054, 'neu': 0.873, 'pos': 0.074, 'compound': 0.2244}",0.2244,positive
" @tavomontana3302  tipico pensamiento progre que el delincuente es producto de la desigualdad y falta de oportunidades osea de los ""ricos"" de los que con esfuerzo han logrado tener algun bien.  Decir que el pobre es por culpa de los ricos es como decir que tu eres feo por culpa de Brad Pitt.",1 year ago (edited),"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Uff con esto aumentaran algo más tus visualizaciones y tus vídeos valen la pena mirar,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Realmente muchos latinoamericanos te envidian y desean un presidente como el tuyo siéntete realmente ORGULLOSO  de tu país y tu presidente saludos dsd Bolivia.,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Wow que chido 😎,1 year ago,"{'neg': 0.0, 'neu': 0.424, 'pos': 0.576, 'compound': 0.7783}",0.7783,positive
"Que bueno Moisesluv q gracias a Dios  que no le pasò nada  por eso  da enojo q la gente hablè sin saber  lo que es vivir  entre criminales.
Agradecemos a Dios por el Presidente Nayib Bukele q Dios  le sabiduria como le diò a Salomon  para q siga governance El Salvador",1 year ago,"{'neg': 0.106, 'neu': 0.894, 'pos': 0.0, 'compound': -0.7003}",-0.7003,negative
​ @halfevil661 😂😂😂,1 year ago (edited),"{'neg': 0.203, 'neu': 0.391, 'pos': 0.406, 'compound': 0.8271}",0.8271,positive
Como Chileno te puedo decir con un presidente socialista estamos así con miedo de salir de la casa por lo que se necesita un Bukele urgente en Chile y ojalá en toda sudamerica...,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
 @tavomontana3302 ellos son asesinos  y violadores  respeta la dignidad de las familias que perdieron a un ser querido por esos criminales,1 year ago (edited),"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
​ @braulio2rodasgarcia369  uff súper inofensivas solo mataban  descuartiban secuestraban y controlaban gran territorio,1 year ago (edited),"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Y todo el mundo .,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Me encanto su comentario  porque ay junté viviendo en el salvador.  Que disen ahhhhh pero todo caro. Y me molesta  porq. Pregonero la seguridad.  Y luego la economía promero Dios  le dé mucha vida. A nuestro presidente.   Bukele.   Lloro de alegria  por el bien q está el país. Bendiciones.,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Dios proteja a Latinoamérica porque si siguen así va a haber más gente dentro que fuera. ❤🌟,1 year ago,"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.6369}",0.6369,positive
muchos por eso salimos de el país después que nos hicieron daño  que perdimos seres queridos mis hijos me los dejaron sin su padre que lo amaban con el alma  después de todo el daño que nos hicieron tubimos aparte que abandonar nuestras casas por miedo,1 year ago,"{'neg': 0.074, 'neu': 0.926, 'pos': 0.0, 'compound': -0.5574}",-0.5574,negative
​ @tavomontana3302 el tener una razón no te da derecho a hacerlo,1 year ago (edited),"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
Que bueno que se haga justicia ojalá en México se haga algo similar,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
 @JuniorVindel obvio no pero al ser un país muchísimo más grande como mexico lo normal es imaginarse que tienen más recursos para poder atacar la violencia que los que tiene un país pequeño como El Salvador no?,1 year ago (edited),"{'neg': 0.058, 'neu': 0.942, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
Ya se abra dado cuenta que se Isaí viral solo por un comentario que iso?😅,1 year ago,"{'neg': 0.0, 'neu': 0.878, 'pos': 0.122, 'compound': 0.3612}",0.3612,positive
​ @Luis_51 la cosa es que ahí no ay solo asesinos también ay falsos positivos y gente por sospecha. Por otro lado si esa cárcel sirviera para algo los índices de crimen hubieran bajado pero es todo lo contrario antes aumentaron (estadísticas de la onu) tener un campo de concentración no sirve de nada si cosas como la economía la calidad de vida y el fácil acceso al aprendizaje faltan.,1 year ago (edited),"{'neg': 0.061, 'neu': 0.939, 'pos': 0.0, 'compound': -0.5267}",-0.5267,negative
" @tavomontana3302 
Victimas son las  personas que ellos lastimaron.",1 year ago (edited),"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
No se porque muchas personas se apiadan de esta gente y lea da lástima a ellos no le importo nada para cometer sus crímenes entonces no mereces que le cojan lastima 😒😒😒,1 year ago,"{'neg': 0.163, 'neu': 0.837, 'pos': 0.0, 'compound': -0.6808}",-0.6808,negative
En varias partes del video hay reclusos que hacen gestos con la boca segun el video de lethal crysis lo hacen para enviar mensajes al exterior y el lo censuro,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Nesecitamos un Bukele en México,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Buen reportaje Luisito para quienes hemos vivido todo esto es una alegría pensar que el día de hoy es cosa del pasado Dios quiera que esta paz que hoy se respira no acabe nunca!!!,1 year ago,"{'neg': 0.085, 'neu': 0.915, 'pos': 0.0, 'compound': -0.4724}",-0.4724,negative
